,Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
2,Hyundai,i10 Magna 1.2 Kappa2,220000,2011,67000,Petrol,Manual,Lucknow,Maroon,First,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585.0,1595.0,1550.0,5.0,35.0
500,Maruti Suzuki,Swift ZXi,465000,2014,25704,Petrol,Manual,Mumbai,Red,First,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
1902,Renault,Kwid 1.0 RXL [2017-2019],365000,2019,32000,Petrol,Manual,Mumbai,Brown,First,Individual,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3679.0,1579.0,1478.0,5.0,28.0
864,Tata,Tiago Revotron XTA [2017-2019],585000,2019,12000,Petrol,Automatic,Mumbai,Silver,First,Individual,1199 cc,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD,3746.0,1647.0,1535.0,5.0,35.0
1209,Hyundai,Verna 1.6 VTVT SX (O),1175000,2019,20000,Petrol,Manual,Delhi,Black,First,Individual,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4375.0,1700.0,1475.0,5.0,43.0
1890,Mercedes-Benz,S-Class S 450,20000000,2021,6600,Petrol,Automatic,Delhi,White,First,Individual,2996 cc,362 bhp @ 5250 rpm,500 Nm @ 1800 rpm,RWD,5246.0,1899.0,1494.0,5.0,80.0
1728,Toyota,Fortuner 3.0 4x2 MT,1375000,2013,83000,Diesel,Manual,Jalandhar,White,First,Individual,2982 cc,169 bhp @ 3600 rpm,343 Nm @ 1400 rpm,RWD,4705.0,1840.0,1850.0,7.0,80.0
1671,Maruti Suzuki,Ciaz VDi+ SHVS,591000,2015,65000,Diesel,Manual,Ahmedabad,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
1542,Toyota,Innova 2.5 V 7 STR,650000,2012,143477,Diesel,Manual,Dehradun,Gold,Second,Individual,2494 cc,102@5600,200@1400,,4555.0,1770.0,1755.0,7.0,55.0
2038,Jeep,Compass Limited 1.4 Petrol AT [2017-2020],1495000,2018,28000,Petrol,Automatic,Delhi,Silver,First,Individual,1368 cc,160 bhp @ 5500 rpm,250 Nm @ 2500 rpm,FWD,4395.0,1818.0,1640.0,5.0,60.0
578,Volkswagen,Polo GT TSI,625000,2016,68000,Petrol,Automatic,Delhi,White,First,Individual,1197 cc,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,FWD,3971.0,1682.0,1469.0,5.0,45.0
1498,Volkswagen,Polo Highline Plus 1.0L TSI,1025000,2020,20124,Petrol,Manual,Bangalore,Red,First,Individual,999 cc,109 bhp @ 5000 rpm,175 Nm @ 1750 rpm,FWD,3971.0,1682.0,1469.0,5.0,45.0
1529,Toyota,Corolla Altis VL AT Petrol,1670000,2019,39000,Petrol,Automatic,Ahmedabad,Brown,Second,Individual,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD,4620.0,1775.0,1475.0,5.0,55.0
1591,Mahindra,XUV300 1.5 W6 [2019-2020],965000,2021,27000,Diesel,Manual,Delhi,Black,First,Individual,1497 cc,115 bhp @ 3750 rpm,300 Nm @ 1500 rpm,FWD,3995.0,1821.0,1627.0,5.0,42.0
1427,Audi,A6 2.0 TDI Premium,1490000,2012,42000,Diesel,Automatic,Raipur,Brown,First,Individual,1968 cc,177 bhp @ 3750 rpm,380 Nm @ 1750 rpm,FWD,4915.0,1874.0,1455.0,5.0,65.0
187,Mahindra,Scorpio S5 2WD 7 STR,1165000,2018,32000,Diesel,Manual,Patna,White,First,Individual,2179 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD,4456.0,1820.0,1995.0,7.0,60.0
105,BMW,X1 sDrive20d xLine,3900000,2021,8000,Diesel,Automatic,Delhi,Black,First,Individual,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD,4454.0,2044.0,1545.0,5.0,63.0
1095,Honda,Civic 1.8V MT,777000,2014,9212,Petrol,Manual,Patna,Grey,First,Individual,,,,,,,,,
1884,Nissan,Terrano XE (D),425000,2014,74000,Diesel,Manual,Gurgaon,Silver,Second,Individual,1461 cc,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,FWD,4331.0,1822.0,1671.0,5.0,50.0
1308,Maruti Suzuki,Ertiga VDi 1.3 Diesel,811000,2018,44153,Diesel,Manual,Patna,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4395.0,1735.0,1690.0,7.0,45.0
1996,Maruti Suzuki,Vitara Brezza VDi,860000,2018,33030,Diesel,Manual,Jaipur,Red,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
488,Honda,Brio S MT,295000,2012,66240,Petrol,Manual,Jaipur,Grey,Third,Individual,,,,,,,,,
286,Hyundai,i10 Sportz 1.2,220000,2009,126535,Petrol,Manual,Hyderabad,Gold,First,Individual,1197 cc,80@5200,111@4000,FWD,3565.0,1595.0,1550.0,5.0,35.0
1318,Maruti Suzuki,Baleno Zeta 1.3,695000,2016,68921,Diesel,Manual,Hyderabad,Red,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
234,Toyota,Fortuner 2.8 4x2 AT [2016-2020],3550000,2020,55000,Diesel,Automatic,Delhi,Black,First,Corporate,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,4795.0,1855.0,1835.0,7.0,80.0
1404,Land Rover,Evoque HSE,3800000,2017,50000,Diesel,Automatic,Mumbai,White,First,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4360.0,2120.0,1635.0,5.0,57.0
484,Volkswagen,Tiguan Highline TDI,2990000,2020,17904,Diesel,Automatic,Mumbai,White,First,Individual,1968 cc,141 bhp @ 4000 rpm,340 Nm @ 1750 rpm,AWD,4486.0,1839.0,1672.0,5.0,71.0
175,BMW,3-Series 320d Luxury Line,2775000,2018,68189,Diesel,Automatic,Jaipur,Brown,First,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4633.0,1811.0,1429.0,5.0,57.0
1347,Ford,Ecosport Titanium 1.5L TDCi,925000,2018,74797,Diesel,Manual,Udupi,White,First,Individual,1498 cc,99 bhp @ 3750 rpm,205 Nm @ 1750 rpm,FWD,3998.0,1765.0,1647.0,5.0,52.0
1820,Maruti Suzuki,Swift Lxi (O) [2014-2017],570000,2019,13000,Petrol,Manual,Delhi,Silver,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
948,Honda,WR-V VX MT Petrol,795000,2018,45326,Petrol,Manual,Mumbai,White,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3999.0,1734.0,1601.0,5.0,40.0
1843,Nissan,Terrano XL D Plus,385000,2013,72000,Diesel,Manual,Dehradun,Grey,Second,Individual,1461 cc,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,FWD,4331.0,1822.0,1671.0,5.0,50.0
1107,Honda,Amaze 1.5 VX i-DTEC,935000,2019,56000,Diesel,Manual,Hyderabad,White,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,3990.0,1680.0,1505.0,5.0,35.0
1871,Kia,Seltos HTK 1.5 Diesel [2020-2021],1300000,2020,27000,Diesel,Manual,Jaipur,Silver,First,Individual,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4315.0,1800.0,1645.0,5.0,50.0
740,Chevrolet,Cruze LTZ,320000,2011,75000,Diesel,Manual,Kanpur,Purple,Second,Individual,1991 cc,150@4000,327@2600,,4597.0,1788.0,1477.0,5.0,60.0
1528,Hyundai,i10 Sportz 1.2 Kappa2,250000,2011,64000,Petrol,Manual,Lucknow,Grey,First,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585.0,1595.0,1550.0,5.0,35.0
635,BMW,X1 sDrive20d Expedition,2600000,2017,41000,Diesel,Automatic,Hyderabad,Blue,First,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,FWD,4439.0,1821.0,1612.0,5.0,51.0
1183,Hyundai,Creta E Plus 1.6 Petrol,1050000,2018,34841,Petrol,Manual,Hyderabad,White,First,Individual,1591 cc,122 bhp @ 6400 rpm,151 Nm @ 4850 rpm,FWD,4270.0,1780.0,1665.0,5.0,55.0
787,Hyundai,Creta SX 1.5 Diesel [2020-2022],1700000,2022,9000,Diesel,Manual,Raipur,Black,First,Individual,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4300.0,1790.0,1635.0,5.0,50.0
61,Honda,City V Petrol [2017-2019],645000,2017,64000,Petrol,Manual,Mumbai,White,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
1050,Toyota,Fortuner 2.8 4x2 AT [2016-2020],2799000,2019,69500,Diesel,Automatic,Delhi,White,Second,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,4795.0,1855.0,1835.0,7.0,80.0
149,Mahindra,Marazzo M2 8 STR,1050000,2019,17000,Diesel,Manual,Lucknow,Green,First,Individual,1497 cc,121 bhp @ 3500 rpm,300 Nm @ 1750 rpm,FWD,4585.0,1866.0,1774.0,8.0,45.0
904,Volkswagen,Jetta 1.9L TDI,310000,2009,107879,Diesel,Manual,Pune,White,Second,Individual,,,,,,,,,
1452,BMW,3-Series 320d Sport Line,2275000,2015,78362,Diesel,Automatic,Bangalore,Red,First,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,4624.0,2031.0,1429.0,5.0,60.0
2014,MINI,Countryman Cooper D,1300000,2013,50300,Diesel,Automatic,Delhi,Green,Second,Individual,1995 cc,112 bhp @,270 Nm @ 1750 rpm,FWD,4097.0,1789.0,1561.0,5.0,47.0
1540,Ssangyong,Rexton RX7,975000,2013,72000,Diesel,Automatic,Bangalore,Silver,First,Individual,2696 cc,184 bhp @ 4000 rpm,402 Nm @ 3000 rpm,AWD,4755.0,1900.0,1785.0,7.0,78.0
1212,MG,Hector Sharp 2.0 Diesel Turbo MT,1975000,2021,18500,Diesel,Manual,Hyderabad,Red,First,Individual,1956 cc,169 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4655.0,1835.0,1760.0,5.0,60.0
1710,Maruti Suzuki,Wagon R VXi 1.2,579000,2019,50860,Petrol,Manual,Bangalore,Grey,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3655.0,1620.0,1675.0,5.0,32.0
243,Maruti Suzuki,Swift VDi AMT [2018-2019],699000,2018,43000,Diesel,Automatic,Mumbai,Red,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3840.0,1735.0,1530.0,5.0,37.0
1242,Maruti Suzuki,Swift LXi,450000,2017,65000,Petrol,Manual,Kanpur,Grey,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
1780,Mercedes-Benz,GLE 250 d,4200000,2017,85000,Diesel,Automatic,Ludhiana,Black,First,Individual,2143 cc,201 bhp @ 3800 rpm,500 Nm @ 1600 rpm,AWD,4819.0,2141.0,1796.0,5.0,93.0
586,Maruti Suzuki,Vitara Brezza VDi AGS,894999,2019,46000,Diesel,Automatic,Mumbai,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
1304,Mahindra,TUV300 T10,944999,2019,88000,Diesel,Manual,Hyderabad,White,First,Individual,1493 cc,100 bhp @ 3750 rpm,240 Nm @ 1600 rpm,RWD,3995.0,1795.0,1817.0,7.0,60.0
1788,Maruti Suzuki,Ertiga ZDi,621000,2013,72000,Diesel,Manual,Mumbai,Blue,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4265.0,1695.0,1685.0,7.0,45.0
1458,Hyundai,Verna Fluidic 1.6 CRDi SX,400000,2013,71000,Diesel,Manual,Agra,Grey,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4370.0,1700.0,1475.0,5.0,43.0
809,Hyundai,i20 Sportz 1.2 (O),335000,2013,80500,Petrol,Manual,Ambala Cantt,White,First,Individual,,,,,,,,,
1590,Hyundai,i10 Era 1.1 iRDE2 [2010-2017],225000,2012,26000,Petrol,Manual,Dehradun,White,First,Individual,1086 cc,68 bhp @ 5500 rpm,99.08 Nm @ 4500 rpm,FWD,3585.0,1595.0,1550.0,5.0,35.0
566,Mahindra,TUV300 T8,565000,2017,65000,Diesel,Manual,Delhi,Red,Second,Individual,1493 cc,84 bhp @ 3750 rpm,230 Nm @ 1500 rpm,RWD,3995.0,1835.0,1839.0,7.0,60.0
885,Maruti Suzuki,Swift DZire ZXI,545000,2015,70000,Petrol,Manual,Mohali,Silver,First,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0
413,Mercedes-Benz,S-Class 350 L,1850000,2011,26000,Petrol,Automatic,Delhi,Black,First,Individual,3498 cc,272 bhp @ 6300 rpm,345 Nm @ 4500 rpm,RWD,5226.0,2120.0,1479.0,5.0,90.0
1147,Volkswagen,Vento Highline Plus 1.2 (P) AT 16 Alloy,775000,2017,60500,Petrol,Automatic,Surat,White,First,Individual,1197 cc,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,FWD,4390.0,1699.0,1467.0,5.0,55.0
724,Mahindra,Scorpio S10,925000,2016,150000,Diesel,Manual,Lucknow,White,First,Individual,2179 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD,4456.0,1820.0,1995.0,8.0,60.0
800,Skoda,Octavia 1.8 TSI Ambition Plus AT,1685000,2017,28600,Petrol,Automatic,Mumbai,Grey,First,Individual,1798 cc,177 bhp @ 4500 rpm,250 Nm @ 1250 rpm,FWD,4659.0,1814.0,1476.0,5.0,50.0
1910,Audi,A3 35 TFSI Premium Plus,2089999,2018,15600,Petrol,Automatic,Lucknow,White,First,Corporate,1395 cc,148 bhp @ 5000 rpm,250 Nm @ 1500 rpm,FWD,4456.0,1796.0,1416.0,5.0,50.0
1552,Tata,Harrier XZ,2095000,2021,23000,Diesel,Manual,Hyderabad,Red,First,Individual,1956 cc,168 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4598.0,1894.0,1706.0,5.0,50.0
1652,Mercedes-Benz,A-Class Sedan 200,4100000,2021,9000,Petrol,Automatic,Chennai,Blue,First,Individual,1332 cc,161 bhp @ 5500 rpm,250 Nm @ 1620 rpm,FWD,4549.0,1796.0,1446.0,5.0,43.0
238,Toyota,Fortuner 3.0 MT,750000,2011,117000,Diesel,Manual,Agra,White,Second,Individual,2982 cc,171@3600,343@1400,AWD,4695.0,1840.0,1850.0,7.0,80.0
860,Maruti Suzuki,Eeco 5 STR WITH A/C+HTR [2019-2020],422000,2018,12768,Petrol,Manual,Ahmedabad,White,First,Individual,1196 cc,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,RWD,3675.0,1475.0,1800.0,5.0,40.0
769,Honda,City ZX Diesel,1490000,2021,11000,Diesel,Manual,Lucknow,White,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
256,Maruti Suzuki,Baleno Alpha 1.3,690000,2017,61000,Diesel,Manual,Surat,Orange,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
986,Hyundai,Eon Era +,210000,2014,48000,Petrol,Manual,Lucknow,Red,First,Individual,814 cc,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD,3495.0,1550.0,1500.0,5.0,32.0
2009,Audi,A4 2.0 TDI Sline,775000,2012,89000,Diesel,Automatic,Mohali,Black,Second,Individual,,,,,,,,,
23,Hyundai,Venue SX 1.0 (O) Petrol [2019-2020],999000,2019,27464,Petrol,Manual,Bangalore,Blue,First,Individual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,3995.0,1770.0,1605.0,5.0,45.0
1600,Mercedes-Benz,GLC 220d 4MATIC Progressive [2019-2021],6500000,2020,13000,Diesel,Automatic,Mumbai,Silver,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,AWD,4658.0,1890.0,1644.0,5.0,66.0
802,Hyundai,Creta SX 1.6 CRDI,869999,2017,70000,Diesel,Manual,Kanpur,White,First,Individual,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
1603,Mercedes-Benz,E-Class E 220 d Avantgarde,7475000,2021,13000,Diesel,Automatic,Delhi,Black,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,5063.0,1860.0,1494.0,5.0,80.0
42,Audi,A4 2.0 TDI (177bhp) Premium Plus,1575000,2013,66000,Diesel,Automatic,Hyderabad,White,First,Individual,1968 cc,177 bhp @ 4200 rpm,380 Nm @ 1750 rpm,FWD,4701.0,1826.0,1427.0,5.0,63.0
1419,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,Individual,1984 cc,150 bhp @ 3500 rpm,350 Nm @ 1500 rpm,FWD,4370.0,1783.0,1458.0,5.0,60.0
502,Audi,Q3 35 TDI Premium,1775000,2015,80000,Diesel,Automatic,Chennai,Silver,First,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0
1894,Maruti Suzuki,Celerio ZXi AMT [2017-2019],575000,2018,27239,Petrol,Automatic,Bangalore,Orange,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3600.0,1600.0,1560.0,5.0,35.0
1826,Mahindra,Quanto C8,240000,2013,51500,Diesel,Manual,Kolkata,Maroon,Second,Individual,1493 cc,100 bhp @ 3750 rpm,240 Nm @ 1600 rpm,RWD,3985.0,1850.0,1880.0,7.0,55.0
477,Mercedes-Benz,S-Class 300,1500000,2012,158000,Petrol,Automatic,Chennai,Brown,First,Individual,,,,,,,,,
335,Ford,Fiesta Style Diesel [2011-2014],295000,2013,74000,Diesel,Manual,Hyderabad,Maroon,First,Individual,1498 cc,89 bhp @ 3750 rpm,204 Nm @ 2000 rpm,FWD,4291.0,1722.0,1496.0,5.0,43.0
547,Honda,City 1.5 S MT,450000,2013,61000,Petrol,Manual,Delhi,Maroon,First,Individual,1497 cc,116 bhp @ 6600 rpm,146 Nm @ 4800 rpm,FWD,4440.0,1695.0,1485.0,5.0,42.0
1251,Maruti Suzuki,Swift DZire VXI,500000,2016,26000,Petrol,Manual,Delhi,White,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0
281,Isuzu,MU-X 4x2,2100000,2018,75592,Diesel,Automatic,Hyderabad,White,First,Individual,2999 cc,174 bhp @ 3600 rpm,380 Nm @ 1800 rpm,RWD,4825.0,1860.0,1840.0,7.0,65.0
1924,Maruti Suzuki,Ciaz Delta Hybrid 1.5 [2018-2020],750000,2019,6200,Petrol,Manual,Mumbai,Blue,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
268,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],569000,2018,57847,Petrol,Manual,Bangalore,Grey,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
1008,Mercedes-Benz,GLC 200 Progressive,6600000,2021,16785,Petrol,Automatic,Bangalore,White,First,Individual,1991 cc,194 bhp @ 5500 rpm,320 Nm @ 1650 rpm,RWD,4658.0,1890.0,1644.0,5.0,66.0
1028,Audi,Q5 2.0 TDI quattro Premium,1700000,2014,78000,Diesel,Automatic,Ahmedabad,Brown,First,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4629.0,1898.0,1653.0,5.0,75.0
469,Hyundai,Eon 1.0 Kappa Magna AirBag,360000,2015,16205,Petrol,Manual,Pune,White,First,Individual,998 cc,68 bhp @ 6200 rpm,94 Nm @ 3500 rpm,FWD,3515.0,1550.0,1510.0,5.0,32.0
180,BMW,5-Series 520d Sedan,1250000,2012,78000,Diesel,Automatic,Mohali,Black,First,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,4899.0,2094.0,1464.0,5.0,
811,Mercedes-Benz,E-Class E 220 d Avantgarde,6500000,2019,5750,Diesel,Automatic,Bangalore,White,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,5063.0,1860.0,1494.0,5.0,80.0
1708,Maruti Suzuki,Celerio X Zxi AMT [2017-2019],484999,2018,44000,Petrol,Automatic,Delhi,Grey,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3715.0,1635.0,1565.0,5.0,35.0
1931,Hyundai,Eon Era +,225000,2012,56000,Petrol,Manual,Meerut,Grey,First,Individual,814 cc,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD,3495.0,1550.0,1500.0,5.0,32.0
24,Maruti Suzuki,Alto LXi CNG,370000,2019,47377,CNG,Manual,Delhi,Grey,First,Individual,998 cc,58 bhp @ 6000 rpm,78 Nm @ 3500 rpm,FWD,3545.0,1490.0,1475.0,4.0,60.0
504,Ford,Endeavour Titanium 3.2 4x4 AT,3450000,2019,41526,Diesel,Automatic,Coimbatore,Silver,First,Individual,3198 cc,197 bhp @ 3000 rpm,470 Nm @ 1750 rpm,AWD,4892.0,1860.0,1837.0,7.0,80.0
1066,Maruti Suzuki,Alto 800 Lxi,265000,2017,52100,Petrol,Manual,Lucknow,White,First,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395.0,1490.0,1475.0,5.0,35.0
1852,Mahindra,TUV300 T6 Plus AMT,650000,2015,49776,Diesel,Automatic,Mumbai,White,First,Individual,1493 cc,84 bhp @ 3750 rpm,230 Nm @ 1500 rpm,RWD,3995.0,1835.0,1839.0,7.0,60.0
1129,Volkswagen,Polo Comfortline 1.2L (P),565000,2014,72782,Petrol,Manual,Bangalore,Grey,First,Individual,1198 cc,74 bhp @ 5400 rpm,110 Nm @ 3750 rpm,FWD,3970.0,1682.0,1453.0,5.0,45.0
1365,Ford,Figo Duratorq Diesel ZXI 1.4,225000,2013,87000,Diesel,Manual,Mohali,Grey,First,Individual,1399 cc,68 bhp @ 4000 rpm,160 Nm @ 2000 rpm,FWD,3795.0,1680.0,1427.0,5.0,45.0
1736,Hyundai,Venue S 1.0 AT Petrol [2019-2020],750000,2019,43600,Petrol,Automatic,Allahabad,White,First,Individual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,3995.0,1770.0,1605.0,5.0,45.0
1684,Maruti Suzuki,Swift ZXi,575000,2015,50599,Petrol,Manual,Chennai,White,Second,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
1512,Hyundai,i10 Magna 1.2 Kappa2,250000,2011,53000,Petrol,Manual,Kanpur,White,First,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585.0,1595.0,1550.0,5.0,35.0
1960,Honda,Brio S MT,341000,2016,49000,Petrol,Manual,Mumbai,White,First,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3610.0,1680.0,1500.0,5.0,35.0
1785,Maruti Suzuki,Celerio VXi AMT,375000,2014,35000,Petrol,Automatic,Delhi,Red,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3600.0,1600.0,1560.0,5.0,35.0
159,Hyundai,Xcent S 1.2 (O),490000,2015,23103,Petrol,Manual,Udupi,White,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995.0,1660.0,1520.0,5.0,43.0
1733,Honda,City 1.5 S MT,250000,2009,72256,Petrol,Manual,Navi Mumbai,Black,First,Individual,1497 cc,118@6600,146@4600,FWD,4420.0,1695.0,1480.0,5.0,42.0
1017,MG,Hector Plus Sharp 1.5 DCT Petrol,1875000,2021,10000,Petrol,Automatic,Faridabad,Red,First,Individual,1451 cc,141 bhp @ 5000 rpm,250 Nm @ 1600 rpm,FWD,4720.0,1835.0,1760.0,6.0,60.0
889,Maruti Suzuki,Ciaz ZDi SHVS,625000,2015,61000,Diesel,Manual,Allahabad,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
1215,Toyota,Yaris J CVT [2018-2020],875000,2018,23148,Petrol,Automatic,Bangalore,Red,First,Individual,1496 cc,106 bhp @ 6000 rpm,140 Nm @ 4200 rpm,FWD,4425.0,1730.0,1495.0,5.0,42.0
1899,Maruti Suzuki,Swift DZire LXI,610000,2017,38674,Petrol,Manual,Navi Mumbai,Red,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0
255,Honda,City V,1060000,2019,12382,Petrol,Manual,Pune,Maroon,First,Corporate,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
1346,Maruti Suzuki,Swift VXi,355000,2014,68005,Petrol,Manual,Ranchi,White,First,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
1990,Maruti Suzuki,Wagon R LXI CNG,400000,2017,43000,CNG,Manual,Agra,Grey,First,Individual,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599.0,1495.0,1700.0,5.0,35.0
315,Mercedes-Benz,S-Class S 350D [2018-2020],7900000,2017,11850,Diesel,Automatic,Vadodara,White,First,Individual,2925 cc,282 bhp @ 3600 rpm,600 Nm @ 1600 rpm,RWD,5246.0,1899.0,1494.0,5.0,70.0
113,Tata,Zest XM 75 PS Diesel,425000,2017,39000,Diesel,Manual,Ranchi,Silver,First,Commercial Registration,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 1750 rpm,FWD,3995.0,1706.0,1570.0,5.0,44.0
1492,Honda,City 1.5 V MT,375000,2012,80350,Petrol,Manual,Mumbai,Silver,First,Individual,1497 cc,116 bhp @ 6600 rpm,146 Nm @ 4800 rpm,FWD,4440.0,1695.0,1485.0,5.0,42.0
249,Mahindra,XUV500 W8,549000,2012,143000,Diesel,Manual,Mohali,Silver,First,Individual,2179 cc,140 bhp @ 3750 rpm,330 Nm @ 2800 rpm,FWD,4585.0,1890.0,1785.0,7.0,70.0
